Date,Open,High,Low,Close,Adj Close,Volume
2020-06-19,24.500759,25.098833,24.358845,24.794729,24.794729,6059478
2020-06-22,24.637608,24.967054,24.247339,24.475418,24.475418,3595003
2020-06-23,24.749113,25.098833,24.500759,24.840345,24.840345,10216983
2020-06-24,27.800304,27.825645,26.208818,26.913330,26.913330,31476453
2020-06-25,26.573746,26.629498,25.737455,26.153067,26.153067,7400723
2020-06-26,25.955399,26.822098,25.747593,26.482513,26.482513,10050659
2020-06-29,26.695389,27.328941,26.264572,27.247847,27.247847,7782696
2020-06-30,27.278255,27.992905,27.075520,27.845921,27.845921,6045272
2020-07-01,27.906740,28.165232,27.404966,27.511404,27.511404,5496778
2020-07-02,27.957424,28.251394,27.227571,27.242777,27.242777,3671556
2020-07-06,27.622910,27.709072,27.247847,27.399899,27.399899,3368306
2020-07-07,27.171820,27.344147,26.801825,26.837303,26.837303,3580008
2020-07-08,26.958946,27.445515,26.811960,27.445515,27.445515,4085294
2020-07-09,27.572226,27.572226,26.862646,27.212366,27.212366,2747008
2020-07-10,27.116068,27.212366,26.822098,27.080587,27.080587,2285129
2020-07-13,27.116068,27.212366,26.229094,26.239229,26.239229,4150008
2020-07-14,26.026356,26.639635,25.889507,26.609224,26.609224,2630404
2020-07-15,26.705524,27.060314,26.436897,26.700457,26.700457,3846166
2020-07-16,29.711100,31.236694,29.675621,29.954384,29.954384,50015945
2020-07-17,29.782059,30.734921,29.366447,30.598074,30.598074,11194999
2020-07-20,30.562595,31.348202,30.501774,31.145464,31.145464,6124389
2020-07-21,31.272175,31.677649,30.942726,30.947796,30.947796,5450018
2020-07-22,31.089710,31.682716,31.013685,31.302586,31.302586,5695459
2020-07-23,31.302586,31.875317,30.876837,31.180943,31.180943,4228534
2020-07-24,30.739990,31.023823,30.527117,30.816015,30.816015,2538265
2020-07-27,30.841358,31.089710,30.638620,30.897112,30.897112,2799687
2020-07-28,30.734921,30.881907,30.020273,30.091232,30.091232,3281099
2020-07-29,30.121641,30.516979,30.000000,30.253422,30.253422,3532459
2020-07-30,29.949316,30.157122,29.452610,29.984795,29.984795,3671161
2020-07-31,30.228079,30.369995,29.650278,30.324379,30.324379,3420985
2020-08-03,30.364927,30.836290,30.091232,30.653828,30.653828,3327070
2020-08-04,30.638620,30.745058,30.314241,30.572733,30.572733,3335159
2020-08-05,30.790674,31.003548,30.598074,30.719715,30.719715,2275856
2020-08-06,30.542320,31.039026,30.364927,30.892042,30.892042,3726208
2020-08-07,30.800812,30.871769,30.435884,30.816015,30.816015,2072834
2020-08-10,31.003548,31.454638,30.897112,31.338064,31.338064,3092086
2020-08-11,31.545870,32.027370,31.109985,31.191080,31.191080,4107589
2020-08-12,31.474911,31.571211,31.069437,31.338064,31.338064,1955046
2020-08-13,31.023823,31.231627,30.157122,30.187532,30.187532,5350381
2020-08-14,30.299038,30.587936,30.197668,30.364927,30.364927,2139719
2020-08-17,30.511911,30.760263,30.228079,30.253422,30.253422,1871588
2020-08-18,30.217941,30.593006,30.217941,30.420679,30.420679,1631276
2020-08-19,30.572733,30.755196,30.268625,30.334517,30.334517,3573103
2020-08-20,30.288900,30.390268,30.065889,30.238216,30.238216,1906510
